timestamp_utc,ticker,pre_market_price,regular_prev_close,pre_change_pct,pre_volume,reason,meets_filter
2025-08-13T12:23:08.486130+00:00,AACB,,10.13,,151603,No pre-market data,False
2025-08-13T12:23:08.486149+00:00,AACBR,,0.2033,,111,No pre-market data,False
2025-08-13T12:23:08.486155+00:00,AACBU,,10.31,,394,No pre-market data,False
2025-08-13T12:23:08.486192+00:00,AACG,1.62,1.85,-12.43243243243243,112195,Change -12.43% out of range,False
2025-08-13T12:23:08.486199+00:00,AACI,,10.04,,70,No pre-market data,False
2025-08-13T12:23:08.486203+00:00,AACIU,,10.33,,284,No pre-market data,False
2025-08-13T12:23:08.486208+00:00,AACIW,0.5,0.24,108.33333333333334,2087,Change 108.33% out of range,False
2025-08-13T12:23:08.486212+00:00,AADR,,81.02,,4073,No pre-market data,False
2025-08-13T12:23:08.486216+00:00,AAL,13.0,11.585,12.214069917997403,114781370,Pass,True
2025-08-13T12:23:08.486220+00:00,AALG,14.2,11.66,21.783876500857623,25561,Change 21.78% out of range,False
2025-08-13T12:23:08.486224+00:00,AAME,,2.25,,25772,No pre-market data,False
2025-08-13T12:23:08.486227+00:00,AAOI,23.76,20.86,13.902205177372974,5555016,Pass,True
2025-08-13T12:23:08.486231+00:00,AAON,82.95,72.075,15.088449531737771,2732337,Pass,True
2025-08-13T12:23:08.486235+00:00,AAPB,24.96,24.36,2.463054187192124,517289,Change 2.46% out of range,False
2025-08-13T12:23:08.486239+00:00,AAPD,15.62,15.81,-1.2017710309930505,1281387,Change -1.20% out of range,False
2025-08-13T12:23:08.486242+00:00,AAPG,,40.04,,2089,No pre-market data,False
2025-08-13T12:23:08.486245+00:00,AAPL,230.15,227.18,1.3073333920239452,54917651,Change 1.31% out of range,False
2025-08-13T12:23:08.486249+00:00,AAPU,27.1612,26.46,2.6500377928949357,5486532,Change 2.65% out of range,False
2025-08-13T12:23:08.486252+00:00,AARD,,11.15,,146868,No pre-market data,False
2025-08-13T12:23:08.486254+00:00,AAUS,,51.08,,3583,No pre-market data,False
2025-08-13T12:23:08.486257+00:00,AAVM,,27.3099,,1318,No pre-market data,False
2025-08-13T12:23:08.486261+00:00,AAXJ,86.67,84.72,2.3016997167138844,288336,Change 2.30% out of range,False
2025-08-13T12:23:08.486264+00:00,ABAT,2.4109,2.25,7.151111111111103,6118782,Pass,True
2025-08-13T12:23:08.486267+00:00,ABCL,4.3,4.5,-4.444444444444448,5004180,Change -4.44% out of range,False
2025-08-13T12:23:08.486271+00:00,ABCS,28.78,28.8799,-0.34591532519156265,8505,Change -0.35% out of range,False
2025-08-13T12:23:08.486274+00:00,ABEO,,6.28,,740014,No pre-market data,False
2025-08-13T12:23:08.486277+00:00,ABI,,25.14,,200187,No pre-market data,False
2025-08-13T12:23:08.486280+00:00,ABIG,,30.635,,22900,No pre-market data,False
2025-08-13T12:23:08.486283+00:00,ABL,6.29,5.78,8.823529411764703,599281,Pass,True
2025-08-13T12:23:08.486286+00:00,ABLLL,,25.41,,5184,No pre-market data,False
2025-08-13T12:23:08.486289+00:00,ABLLW,,1.24,,300,No pre-market data,False
2025-08-13T12:23:08.486292+00:00,ABLV,0.9201,0.9701,-5.15410782393567,3783,Change -5.15% out of range,False
2025-08-13T12:23:08.486295+00:00,ABLVW,,0.0203,,15000,No pre-market data,False
2025-08-13T12:23:08.486298+00:00,ABNB,122.02,118.3,3.144547759932374,6097904,Pass,True
2025-08-13T12:23:08.486302+00:00,ABOS,1.26,1.42,-11.26760563380281,459791,Change -11.27% out of range,False
2025-08-13T12:23:08.486305+00:00,ABP,0.2433,0.2476,-1.7366720516962837,2036607,Change -1.74% out of range,False
2025-08-13T12:23:08.486308+00:00,ABPWW,,0.04,,21014,No pre-market data,False
2025-08-13T12:23:08.486311+00:00,ABSI,2.82,2.85,-1.052631578947377,4179121,Change -1.05% out of range,False
2025-08-13T12:23:08.486315+00:00,ABTS,4.09,4.082,0.1959823615874573,1454,Change 0.20% out of range,False
2025-08-13T12:23:08.486318+00:00,ABUS,,3.35,,619207,No pre-market data,False
2025-08-13T12:23:08.486321+00:00,ABVC,3.01,2.95,2.0338983050847323,67560,Change 2.03% out of range,False
2025-08-13T12:23:08.486325+00:00,ABVE,1.7674,1.84,-3.945652173913043,651730,Change -3.95% out of range,False
2025-08-13T12:23:08.486328+00:00,ABVEW,,0.166,,95994,No pre-market data,False
2025-08-13T12:23:08.486331+00:00,ABVX,70.87,69.0,2.7101449275362386,959065,Change 2.71% out of range,False
2025-08-13T12:23:08.486335+00:00,ACAD,25.47,24.82,2.6188557614826693,2749959,Change 2.62% out of range,False
2025-08-13T12:23:08.486338+00:00,ACB,5.3101,5.21,1.9213051823416567,4071050,Change 1.92% out of range,False
2025-08-13T12:23:08.486342+00:00,ACDC,4.19,6.09,-31.198686371100155,508892,Change -31.20% out of range,False
2025-08-13T12:23:08.486345+00:00,ACET,0.672,0.5964,12.676056338028168,750538,Pass,True
2025-08-13T12:23:08.486348+00:00,ACFN,28.75,30.37,-5.334211392821866,50586,Change -5.33% out of range,False
2025-08-13T12:23:08.486352+00:00,ACGL,88.7,89.91,-1.3457902346791166,2121290,Change -1.35% out of range,False
2025-08-13T12:23:08.486355+00:00,ACGLN,,17.4,,30888,No pre-market data,False
2025-08-13T12:23:08.486357+00:00,ACGLO,,20.8938,,16983,No pre-market data,False
2025-08-13T12:23:08.486360+00:00,ACHC,,19.07,,2849713,No pre-market data,False
2025-08-13T12:23:08.486364+00:00,ACHV,2.5,2.45,2.0408163265306047,719221,Change 2.04% out of range,False
