Ticker,Day-4 Change %,Day-3 Change %,Day-2 Change %,Day-1 Change %,Current Price,Volume
ADGM,11.02%,28.35%,35.43%,26.77%,$1.61,32,100
AEI,11.54%,11.54%,13.85%,8.46%,$1.41,40,900
AEMD,10.71%,13.57%,45.71%,33.57%,$1.87,532,700
AIXI,22.3%,8.11%,8.78%,7.43%,$1.59,73,400
ALLR,51.97%,68.97%,59.4%,63.66%,$1.54,2,549,700
AMIX,13.73%,15.69%,7.84%,9.8%,$1.12,251,900
AMLX,7.76%,11.18%,10.82%,10.35%,$9.38,1,675,900
ARMN,8.31%,10.9%,11.72%,18.26%,$8.68,3,370,800
ASST,16.46%,23.12%,39.37%,28.12%,$6.15,3,427,500
AUST,13.57%,11.43%,17.5%,13.57%,$1.59,97,500
AXGN,9.6%,9.13%,9.67%,9.13%,$16.14,1,938,700
BCAB,14.33%,25.56%,17.98%,28.09%,$0.46,681,800
BETR,6.64%,8.42%,7.66%,15.19%,$22.63,116,600
BGSF,7.16%,8.73%,6.46%,8.03%,$6.19,3,500
BNS,7.14%,7.69%,8.85%,8.97%,$62.46,2,088,000
BOEG,6.93%,7.94%,8.35%,6.96%,$19.08,16,300
BOEU,7.22%,7.96%,8.33%,6.95%,$48.59,35,400
BRLT,26.03%,29.22%,22.83%,33.33%,$2.92,209,600
CBRL,6.34%,14.85%,10.67%,10.23%,$59.82,1,023,100
CCLD,15.72%,16.67%,18.87%,20.75%,$3.84,612,700
CNL,9.86%,8.61%,15.01%,16.16%,$13.08,34,400
COOT,12.84%,19.65%,26.46%,16.93%,$0.6,2,262,100
DAWN,7.03%,8.9%,8.9%,7.75%,$7.51,893,900
DOMO,16.4%,26.95%,10.69%,6.07%,$14.68,1,555,300
DPRO,11.19%,7.46%,17.72%,13.52%,$4.87,1,634,400
EDAP,10.95%,15.33%,32.85%,64.96%,$2.26,333,700
EHGO,11.93%,12.84%,11.78%,11.03%,$0.74,213,600
ELIL,11.17%,10.82%,10.2%,9.91%,$15.64,83,500
EOSE,10.37%,13.56%,13.72%,10.05%,$6.9,8,669,300
FBGL,18.07%,11.05%,9.3%,9.12%,$0.62,76,500
FENG,10.36%,8.11%,8.56%,7.66%,$2.39,4,200
FORD,8.5%,24.77%,29.81%,42.24%,$15.22,53,100
FTRK,11.14%,15.91%,34.09%,18.18%,$0.52,231,200
FVNNR,13.33%,20.0%,20.0%,20.0%,$0.18,600
GCO,13.0%,15.92%,9.07%,12.37%,$31.98,315,100
GDEV,8.13%,13.51%,9.48%,15.38%,$14.48,3,000
GEOS,9.43%,10.08%,9.11%,7.43%,$19.82,125,000
HAO,10.91%,8.73%,8.18%,6.73%,$1.17,4,000
HBNB,9.6%,12.05%,12.5%,20.09%,$2.69,145,300
HIVE,7.95%,11.36%,11.36%,11.74%,$2.95,26,612,300
HKPD,35.24%,49.52%,53.33%,43.81%,$1.51,498,200
HOVR,14.91%,13.66%,14.91%,8.7%,$1.75,845,400
HSAI,14.07%,11.21%,14.76%,10.22%,$25.77,2,006,700
HUT,10.49%,12.37%,13.05%,13.99%,$26.73,4,092,600
HYMCL,18.18%,27.27%,9.09%,9.09%,$0.01,202,700
INEO,14.12%,12.94%,47.06%,15.29%,$0.98,256,100
IONL,9.77%,13.56%,23.25%,20.83%,$43.65,55,000
IONX,10.85%,14.3%,24.73%,21.25%,$61.23,428,000
IVVD,83.93%,55.54%,76.79%,73.75%,$0.97,3,971,200
KALA,6.04%,9.91%,20.62%,27.79%,$11.22,404,500
KAVL,15.85%,6.2%,6.32%,19.19%,$1.0,1,207,300
KOPN,13.99%,11.92%,12.95%,8.81%,$2.1,2,016,900
KPTI,18.23%,23.77%,21.71%,12.68%,$7.11,132,500
KSCP,6.93%,12.41%,8.03%,10.22%,$6.04,228,600
LEU,12.62%,7.02%,13.01%,8.88%,$201.73,1,436,000
LHAI,20.96%,20.52%,17.18%,30.13%,$8.94,993,000
LPTH,9.33%,6.67%,20.89%,18.89%,$5.35,1,326,900
LWLG,27.89%,43.43%,47.81%,33.86%,$3.36,2,640,500
LXEH,9.88%,13.37%,15.12%,17.44%,$2.02,3,947,200
MB,19.84%,35.47%,98.28%,58.12%,$10.12,83,000
MENS,6.81%,8.94%,18.13%,16.62%,$54.81,55,500
MGRX,12.52%,17.93%,35.38%,42.0%,$2.36,314,600
MOBX,7.55%,8.7%,25.86%,35.01%,$1.18,1,946,100
MSPR,12.66%,14.18%,18.99%,13.92%,$0.45,210,000
MTA,7.1%,11.31%,15.08%,21.29%,$5.47,1,078,200
MTEK,10.04%,8.24%,26.43%,22.95%,$3.0,80,900
MTEX,10.2%,6.24%,9.24%,15.01%,$9.58,6,400
NEUP,12.67%,39.24%,66.35%,54.36%,$11.33,125,900
NINE,7.51%,7.85%,17.58%,17.24%,$0.69,517,100
NKTR,6.04%,7.89%,8.11%,10.02%,$29.86,381,700
NMRA,6.75%,7.98%,7.98%,6.13%,$1.73,236,500
NSSC,11.18%,14.18%,13.94%,13.11%,$38.05,445,300
NTRP,14.24%,8.79%,21.21%,16.06%,$3.83,1,100
OCG,33.22%,46.02%,40.48%,43.25%,$4.14,26,200
OMEX,10.0%,20.0%,28.75%,22.5%,$1.96,4,753,200
OPXS,14.43%,7.97%,10.49%,10.9%,$10.99,13,000
OVID,7.02%,10.53%,9.65%,12.28%,$1.28,1,865,400
OXBR,6.27%,16.08%,16.62%,17.17%,$2.15,21,900
PACK,15.32%,11.59%,6.83%,9.32%,$5.28,899,900
PCT,6.92%,16.82%,15.02%,12.34%,$14.29,2,247,700
PGEN,7.04%,15.33%,14.32%,13.32%,$4.51,9,087,700
PIII,8.12%,6.22%,12.52%,12.72%,$8.33,6,300
PLRX,8.72%,13.42%,8.72%,10.07%,$1.64,517,800
PMNT,13.69%,16.01%,18.33%,11.6%,$0.48,800,700
PODC,26.15%,23.08%,20.0%,21.54%,$1.58,191,600
PSNYW,6.79%,195.41%,85.42%,93.27%,$0.31,1,700,578
PTHL,18.2%,27.21%,32.69%,28.98%,$0.73,429,600
RCKY,9.23%,11.97%,11.93%,11.06%,$30.43,61,800
REI,8.16%,12.24%,12.24%,11.22%,$1.09,1,641,500
RGC,10.34%,15.96%,24.43%,14.41%,$14.05,278,400
RGTX,10.75%,11.82%,28.96%,23.26%,$48.6,525,300
RHLD,13.67%,6.12%,11.96%,9.64%,$66.09,30,200
RR,32.35%,39.08%,30.04%,27.94%,$3.05,50,579,600
RSLS,7.98%,70.21%,108.51%,nan%,$nan,0
SATS,70.25%,96.65%,90.6%,106.79%,$61.79,12,446,800
SELX,11.83%,8.6%,8.71%,18.28%,$1.1,2,800
SERA,15.53%,7.58%,16.67%,22.35%,$3.23,212,400
SINT,9.97%,9.25%,22.54%,19.94%,$4.15,173,000
SKBL,12.5%,70.83%,89.58%,118.75%,$1.05,6,323,800
SMTC,15.14%,13.98%,18.75%,13.9%,$58.09,1,596,700
STEC,10.17%,10.85%,13.56%,20.17%,$0.71,19,500
STKH,32.84%,39.11%,29.15%,41.88%,$0.77,500,500
SUGP,7.28%,15.33%,28.93%,20.67%,$6.3,81,000
SWIN,8.12%,9.8%,11.76%,12.32%,$4.01,184,200
TLN,6.54%,7.3%,9.19%,6.58%,$378.92,1,200,900
TLSIW,10.83%,10.83%,10.83%,18.47%,$1.86,700
UFO,6.58%,8.7%,8.74%,9.45%,$33.89,105,900
