Ticker,Day-1 Price,Day-1 Change %,Day-1 Volume,Day-2 Price,Day-2 Change %,Day-2 Volume,Day-3 Price,Day-3 Change %,Day-3 Volume,Day-4 Price,Day-4 Change %,Day-4 Volume,Current Price,Current Volume,RSI,VWAP,PremarketFlag
ADGM,1.41,11.02%,65600,1.63,28.35%,141900,1.72,35.43%,50700,1.61,26.77%,32100,1.61,32100,65.48,1.51,None
AEI,1.45,11.54%,197800,1.45,11.54%,209900,1.48,13.85%,74900,1.41,8.46%,40900,1.41,40900,67.11,1.26,None
AEMD,1.55,10.71%,1506800,1.59,13.57%,615100,2.04,45.71%,1732800,1.87,33.57%,532700,1.87,532700,60.82,2.04,None
AIXI,1.81,22.3%,874200,1.6,8.11%,227500,1.61,8.78%,96800,1.59,7.43%,73400,1.59,73400,51.72,1.94,None
ALLR,1.43,51.97%,387023700,1.59,68.97%,15584400,1.5,59.4%,6786700,1.54,63.66%,2549700,1.54,2549700,78.39,1.69,None
AMIX,1.16,13.73%,1126400,1.18,15.69%,492600,1.1,7.84%,256700,1.12,9.8%,251900,1.12,251900,50.54,1.75,None
AMLX,9.16,7.76%,953000,9.45,11.18%,2120800,9.42,10.82%,1494200,9.38,10.35%,1675900,9.38,1675900,67.41,7.92,None
ARMN,7.95,8.31%,2548600,8.14,10.9%,2633800,8.2,11.72%,1650700,8.68,18.26%,3370800,8.68,3370800,78.41,7.32,None
ASST,5.59,16.46%,8364900,5.91,23.12%,6712000,6.69,39.37%,4313000,6.15,28.12%,3427500,6.15,3427500,70.66,5.93,None
AUST,1.59,13.57%,241700,1.56,11.43%,89600,1.64,17.5%,181800,1.59,13.57%,97500,1.59,97500,75.81,1.37,None
AXGN,16.21,9.6%,1502600,16.14,9.13%,1523100,16.22,9.67%,1407900,16.14,9.13%,1938700,16.14,1938700,68.92,13.61,None
BCAB,0.41,14.33%,1684200,0.45,25.56%,1643400,0.42,17.98%,530800,0.46,28.09%,681800,0.46,681800,66.67,0.38,None
BETR,20.95,6.64%,67900,21.3,8.42%,79700,21.15,7.66%,62900,22.63,15.19%,116600,22.63,116600,82.28,15.69,None
BGSF,6.14,7.16%,15300,6.23,8.73%,15300,6.1,6.46%,19500,6.19,8.03%,3500,6.19,3500,62.36,6.59,None
BNS,61.41,7.14%,4831700,61.73,7.69%,3339600,62.39,8.85%,1988400,62.46,8.97%,2088000,62.46,2088000,91.78,56.44,None
BOEG,19.08,6.93%,5900,19.26,7.94%,8400,19.33,8.35%,15700,19.08,6.96%,16300,19.08,16300,59.02,18.24,None
