Ticker,Day-1 Price,Day-1 Change %,Day-1 Volume,Day-2 Price,Day-2 Change %,Day-2 Volume,Day-3 Price,Day-3 Change %,Day-3 Volume,Current Price,Current Volume,RSI,VWAP,PremarketFlag
BW,1.84,7.6%,2778900,2.05,11.41%,3473200,2.23,8.78%,5756800,2.23,5756800,82.0,1.42,None
IFRX,1.0,8.7%,802100,1.17,17.0%,1887000,1.6,36.75%,4152400,1.6,4152400,94.5,1.04,None
KLRS,3.08,20.31%,429800,3.56,15.58%,328600,4.08,14.61%,61000,4.08,61000,79.34,2.75,None
MFH,5.68,9.65%,133100,6.5,14.44%,215700,6.99,7.54%,167200,6.99,167200,97.24,3.15,None
NBY,1.55,72.22%,141478200,1.65,6.45%,5825100,1.78,7.88%,8339800,1.78,8339800,86.87,1.29,None
NTHI,6.45,5.74%,30900,6.98,8.22%,61900,7.41,6.23%,101100,7.41,101100,84.77,5.34,None
QVCGA,6.28,27.64%,757900,7.11,13.22%,496300,8.58,20.68%,657100,8.58,657100,83.62,4.23,None
RSLS,12.8,57.64%,10939690,15.68,22.5%,3380919,nan,nan%,0,nan,0,71.84,nan,None
SKBL,0.82,51.85%,103004800,0.91,10.98%,5762500,1.05,15.38%,6323800,1.05,6323800,81.93,1.48,None
YGMZ,0.74,7.09%,4500,0.9,21.76%,92000,1.01,12.1%,73300,1.01,73300,63.32,0.89,None
